 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";113;113;61999,70;50385,33;-;-;11614,37;-;-;548,67;548,67;347;3,1;1;0,88
"110040 Alto Paraíso";35;35;20928,13;17110,81;-;-;3817,32;-;-;597,95;597,95;96;2,7;-;-
"110002 Ariquemes";28;28;140580,26;123441,65;-;-;17138,61;-;-;5020,72;5020,72;201;7,2;12;42,86
"110045 Buritis";79;79;67971,32;53594,84;-;-;14376,48;-;-;860,40;860,40;241;3,1;9;11,39
"110003 Cabixi";13;13;14841,95;11904,70;-;-;2937,25;-;-;1141,69;1141,69;75;5,8;-;-
"110004 Cacoal";940;940;1152931,18;934545,48;-;-;218385,70;-;-;1226,52;1226,52;4217;4,5;78;8,30
"110005 Cerejeiras";71;71;51106,21;41334,00;-;-;9772,21;-;-;719,81;719,81;231;3,3;4;5,63
"110009 Espigão D'Oeste";71;71;43044,61;35549,64;-;-;7494,97;-;-;606,26;606,26;188;2,6;2;2,82
"110110 Itapuã do Oeste";4;4;4689,67;3735,77;-;-;953,90;-;-;1172,42;1172,42;8;2,0;-;-
"110012 Ji-Paraná";993;993;1264422,61;1021407,24;-;-;243015,37;-;-;1273,34;1273,34;3726;3,8;45;4,53
"110130 Mirante da Serra";14;14;6749,07;5702,81;-;-;1046,26;-;-;482,08;482,08;55;3,9;2;14,29
"110143 Nova União";19;19;19990,11;16055,50;-;-;3934,61;-;-;1052,11;1052,11;41;2,2;-;-
"110020 Porto Velho";3370;3370;8766886,74;7369538,98;-;-;1397347,76;-;-;2601,45;2601,45;22716;6,7;303;8,99
"110029 Santa Luzia D'Oeste";34;34;27736,51;22369,06;-;-;5367,45;-;-;815,78;815,78;177;5,2;4;11,76
"110149 São Francisco do Guaporé";59;59;42113,67;32474,31;-;-;9639,36;-;-;713,79;713,79;184;3,1;3;5,08
"110155 Teixeirópolis";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"110030 Vilhena";805;805;935859,45;757808,91;-;-;178050,54;-;-;1162,56;1162,56;3290;4,1;59;7,33
"130002 Alvarães";72;72;30460,74;22606,87;-;-;7853,87;-;-;423,07;423,07;280;3,9;1;1,39
"130010 Anori";47;47;19541,55;14460,04;-;-;5081,51;-;-;415,78;415,78;128;2,7;-;-
"130014 Apuí";81;81;46359,83;34191,45;-;-;12168,38;-;-;572,34;572,34;308;3,8;2;2,47
"130020 Atalaia do Norte";40;40;13134,26;10221,09;-;-;2913,17;-;-;328,36;328,36;80;2,0;-;-
"130030 Autazes";157;157;82504,48;50906,28;-;-;31598,20;-;-;525,51;525,51;273;1,7;-;-
"130040 Barcelos";94;94;46074,49;34633,10;-;-;11441,39;-;-;490,15;490,15;272;2,9;2;2,13
"130068 Boa Vista do Ramos";87;87;46422,80;36141,15;-;-;10281,65;-;-;533,60;533,60;274;3,1;-;-
"130080 Borba";199;199;159837,76;125373,11;-;-;34464,65;-;-;803,20;803,20;560;2,8;2;1,01
"130083 Caapiranga";45;45;16413,06;11960,26;-;-;4452,80;-;-;364,73;364,73;116;2,6;-;-
"130090 Canutama";52;52;20512,05;15557,80;-;-;4954,25;-;-;394,46;394,46;176;3,4;-;-
"130100 Carauari";138;138;127541,46;96013,34;-;-;31528,12;-;-;924,21;924,21;530;3,8;11;7,97
"130110 Careiro";113;113;47089,57;32598,15;-;-;14491,42;-;-;416,72;416,72;232;2,1;-;-
"130120 Coari";277;277;150768,33;101101,86;-;-;49666,47;-;-;544,29;544,29;785;2,8;10;3,61
"130130 Codajás";158;158;83233,98;58453,15;-;-;24780,83;-;-;526,80;526,80;434;2,7;3;1,90
"130140 Eirunepé";153;153;72479,22;50624,53;-;-;21854,69;-;-;473,72;473,72;356;2,3;6;3,92
"130150 Envira";107;107;67913,97;52164,34;-;-;15749,63;-;-;634,71;634,71;371;3,5;2;1,87
"130165 Guajará";46;46;44882,14;36052,96;-;-;8829,18;-;-;975,70;975,70;164;3,6;-;-
"130200 Itapiranga";25;25;10124,97;7630,47;-;-;2494,50;-;-;405,00;405,00;71;2,8;1;4,00
"130230 Jutaí";91;91;38802,42;27475,33;-;-;11327,09;-;-;426,40;426,40;170;1,9;-;-
"130240 Lábrea";162;162;90973,18;66332,49;-;-;24640,69;-;-;561,56;561,56;495;3,1;2;1,23
"130250 Manacapuru";493;493;376674,31;292189,21;-;-;84485,10;-;-;764,05;764,05;1407;2,9;13;2,64
"130260 Manaus";10892;10892;22031706,81;17997869,45;-;-;4033837,36;-;-;2022,74;2022,74;73524;6,8;739;6,78
"130270 Manicoré";196;196;109088,02;76089,00;-;-;32999,02;-;-;556,57;556,57;493;2,5;4;2,04
"130290 Maués";289;289;215783,96;155320,89;-;-;60463,07;-;-;746,66;746,66;936;3,2;15;5,19
"130300 Nhamundá";57;57;26719,72;19335,01;-;-;7384,71;-;-;468,77;468,77;145;2,5;1;1,75
"130320 Novo Airão";93;93;64644,97;48922,06;-;-;15722,91;-;-;695,11;695,11;206;2,2;-;-
"130340 Parintins";516;516;353857,22;270154,26;-;-;83702,96;-;-;685,77;685,77;2468;4,8;25;4,84
"130356 Rio Preto da Eva";40;40;28659,27;22292,90;-;-;6366,37;-;-;716,48;716,48;125;3,1;-;-
"130370 Santo Antônio do Içá";165;165;125769,01;94934,45;-;-;30834,56;-;-;762,24;762,24;555;3,4;3;1,82
"130380 São Gabriel da Cachoeira";140;140;68315,94;41758,17;-;-;26557,77;-;-;487,97;487,97;510;3,6;3;2,14
"130390 São Paulo de Olivença";146;146;72434,65;55675,33;-;-;16759,32;-;-;496,13;496,13;421;2,9;4;2,74
"130395 São Sebastião do Uatumã";43;43;15909,13;10000,79;-;-;5908,34;-;-;369,98;369,98;74;1,7;-;-
"130406 Tabatinga";315;315;196489,49;141923,25;-;-;54566,24;-;-;623,78;623,78;1154;3,7;12;3,81
"130410 Tapauá";70;70;37045,55;25865,57;-;-;11179,98;-;-;529,22;529,22;161;2,3;1;1,43
"130423 Tonantins";52;52;19810,89;13045,79;-;-;6765,10;-;-;380,98;380,98;131;2,5;-;-
"130426 Uarini";84;84;47225,22;34848,27;-;-;12376,95;-;-;562,20;562,20;171;2,0;-;-
"130430 Urucará";46;46;23215,66;16504,84;-;-;6710,82;-;-;504,69;504,69;126;2,7;-;-
"140005 Alto Alegre";12;12;4940,40;4036,61;-;-;903,79;-;-;411,70;411,70;36;3,0;1;8,33
"140010 Boa Vista";2951;2951;4170353,93;3326657,03;-;-;843696,90;-;-;1413,20;1413,20;20579;7,0;167;5,66
"140015 Bonfim";3;3;1384,20;826,80;-;-;557,40;-;-;461,40;461,40;5;1,7;-;-
"140020 Caracaraí";13;13;5397,30;3738,87;-;-;1658,43;-;-;415,18;415,18;25;1,9;-;-
"140023 Caroebe";18;18;3953,84;3288,04;-;-;665,80;-;-;219,66;219,66;40;2,2;-;-
