 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Abr/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";134;134;97901,31;78189,61;-;-;19711,70;-;-;730,61;730,61;405;3,0;6;4,48
"110037 Alto Alegre dos Parecis";60;60;70736,95;56528,90;-;-;14208,05;-;-;1178,95;1178,95;223;3,7;-;-
"110040 Alto Paraíso";26;26;22226,56;17749,05;-;-;4477,51;-;-;854,87;854,87;85;3,3;1;3,85
"110002 Ariquemes";17;17;146738,20;129432,79;-;-;17305,41;-;-;8631,66;8631,66;220;12,9;5;29,41
"110045 Buritis";90;90;84702,96;66108,97;-;-;18593,99;-;-;941,14;941,14;345;3,8;7;7,78
"110003 Cabixi";15;15;13703,03;11040,47;-;-;2662,56;-;-;913,54;913,54;50;3,3;-;-
"110004 Cacoal";982;982;746359,79;580332,34;-;-;166027,45;-;-;760,04;760,04;4873;5,0;51;5,19
"110005 Cerejeiras";79;79;75930,55;60766,88;-;-;15163,67;-;-;961,15;961,15;297;3,8;4;5,06
"110006 Colorado do Oeste";29;29;31659,18;25702,28;-;-;5956,90;-;-;1091,70;1091,70;152;5,2;2;6,90
"110094 Cujubim";70;70;49269,58;40105,97;-;-;9163,61;-;-;703,85;703,85;-;-;-;-
"110009 Espigão D'Oeste";78;78;48484,10;39867,00;-;-;8617,10;-;-;621,59;621,59;174;2,2;3;3,85
"110010 Guajará-Mirim";257;257;162217,87;119621,34;-;-;42596,53;-;-;631,20;631,20;934;3,6;3;1,17
"110110 Itapuã do Oeste";4;4;2491,01;2022,81;-;-;468,20;-;-;622,75;622,75;5;1,3;-;-
"110012 Ji-Paraná";841;841;1317512,32;1062293,61;-;-;255218,71;-;-;1566,60;1566,60;3009;3,6;43;5,11
"110013 Machadinho D'Oeste";86;86;60276,50;47458,67;-;-;12817,83;-;-;700,89;700,89;223;2,6;2;2,33
"110120 Ministro Andreazza";5;5;2328,38;2070,34;-;-;258,04;-;-;465,68;465,68;16;3,2;-;-
"110130 Mirante da Serra";13;13;13372,99;10785,67;-;-;2587,32;-;-;1028,69;1028,69;55;4,2;-;-
"110033 Nova Mamoré";50;50;43076,94;34802,58;-;-;8274,36;-;-;861,54;861,54;233;4,7;3;6,00
"110143 Nova União";29;29;29942,97;24079,64;-;-;5863,33;-;-;1032,52;1032,52;71;2,4;-;-
"110050 Novo Horizonte do Oeste";37;37;37671,32;30584,52;-;-;7086,80;-;-;1018,14;1018,14;204;5,5;5;13,51
"110018 Pimenta Bueno";203;203;147289,14;121016,80;-;-;26272,34;-;-;725,56;725,56;602;3,0;13;6,40
"110020 Porto Velho";3512;3512;8270559,06;6938327,79;-;-;1332231,27;-;-;2354,94;2354,94;24056;6,8;388;11,05
"110028 Rolim de Moura";329;329;265923,05;202281,42;-;-;63641,63;-;-;808,28;808,28;821;2,5;8;2,43
"110029 Santa Luzia D'Oeste";47;47;30597,32;25456,24;-;-;5141,08;-;-;651,01;651,01;173;3,7;5;10,64
"110149 São Francisco do Guaporé";169;169;171707,04;132521,29;-;-;39185,75;-;-;1016,02;1016,02;611;3,6;10;5,92
"110032 São Miguel do Guaporé";142;142;111387,59;86946,09;-;-;24441,50;-;-;784,42;784,42;325;2,3;4;2,82
"110155 Teixeirópolis";10;10;10566,09;8514,82;-;-;2051,27;-;-;1056,61;1056,61;37;3,7;-;-
"110170 Urupá";38;38;49525,24;39722,60;-;-;9802,64;-;-;1303,30;1303,30;121;3,2;7;18,42
"110180 Vale do Paraíso";12;12;14284,51;11433,48;-;-;2851,03;-;-;1190,38;1190,38;40;3,3;-;-
"110030 Vilhena";795;795;1035943,07;850633,21;-;-;185309,86;-;-;1303,07;1303,07;3210;4,0;84;10,57
"120005 Assis Brasil";33;33;6891,07;5474,78;-;-;1416,29;-;-;208,82;208,82;108;3,3;-;-
"120010 Brasiléia";244;244;143093,64;110974,54;-;-;32119,10;-;-;586,45;586,45;860;3,5;8;3,28
"120020 Cruzeiro do Sul";717;717;995160,43;807482,36;-;-;187678,07;-;-;1387,95;1387,95;3654;5,1;59;8,23
"120030 Feijó";36;36;18841,77;14660,93;-;-;4180,84;-;-;523,38;523,38;99;2,8;2;5,56
"120034 Manoel Urbano";31;31;27412,98;21743,03;-;-;5669,95;-;-;884,29;884,29;228;7,4;1;3,23
"120035 Marechal Thaumaturgo";35;35;6043,28;4123,13;-;-;1920,15;-;-;172,67;172,67;61;1,7;-;-
"120038 Plácido de Castro";25;25;17155,34;13925,41;-;-;3229,93;-;-;686,21;686,21;88;3,5;2;8,00
"120040 Rio Branco";2644;2658;4775352,52;3832545,69;-;-;942806,83;-;-;1796,60;1806,11;16431;6,2;248;9,38
"120042 Rodrigues Alves";16;16;4742,03;3811,40;-;-;930,63;-;-;296,38;296,38;35;2,2;-;-
"120050 Sena Madureira";189;189;119265,26;93119,25;-;-;26146,01;-;-;631,03;631,03;598;3,2;10;5,29
"120045 Senador Guiomard";36;36;34083,89;27195,13;-;-;6888,76;-;-;946,77;946,77;138;3,8;1;2,78
