 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";111;111;75404,08;60098,40;-;-;15305,68;-;-;679,32;679,32;331;3,0;6;5,41
"110037 Alto Alegre dos Parecis";45;45;35041,43;28533,56;-;-;6507,87;-;-;778,70;778,70;146;3,2;-;-
"110040 Alto Paraíso";41;41;42518,99;34230,66;-;-;8288,33;-;-;1037,05;1037,05;131;3,2;3;7,32
"110002 Ariquemes";723;723;1773096,40;1481062,53;-;-;292033,87;-;-;2452,42;2452,42;2654;3,7;130;17,98
"110045 Buritis";89;89;96803,06;75130,47;-;-;21672,59;-;-;1087,67;1087,67;300;3,4;5;5,62
"110003 Cabixi";18;18;10375,30;8637,65;-;-;1737,65;-;-;576,41;576,41;62;3,4;-;-
"110004 Cacoal";749;749;494635,06;388566,41;-;-;106068,65;-;-;660,39;660,39;3726;5,0;50;6,68
"110005 Cerejeiras";65;65;60392,39;48464,64;-;-;11927,75;-;-;929,11;929,11;209;3,2;3;4,62
"110006 Colorado do Oeste";31;31;26404,87;22274,53;-;-;4130,34;-;-;851,77;851,77;107;3,5;-;-
"110094 Cujubim";64;64;66976,55;53555,91;-;-;13420,64;-;-;1046,51;1046,51;-;-;5;7,81
"110009 Espigão D'Oeste";75;75;57443,07;45913,68;-;-;11529,39;-;-;765,91;765,91;245;3,3;3;4,00
"110010 Guajará-Mirim";292;292;215268,59;164795,76;-;-;50472,83;-;-;737,22;737,22;1164;4,0;12;4,11
"110110 Itapuã do Oeste";5;5;6590,42;5296,03;-;-;1294,39;-;-;1318,08;1318,08;6;1,2;-;-
"110011 Jaru";369;369;656029,19;532073,40;-;-;123955,79;-;-;1777,86;1777,86;1418;3,8;28;7,59
"110012 Ji-Paraná";761;761;874301,08;707596,37;-;-;166704,71;-;-;1148,88;1148,88;3472;4,6;56;7,36
"110013 Machadinho D'Oeste";129;129;142915,24;112491,29;-;-;30423,95;-;-;1107,87;1107,87;522;4,0;25;19,38
"110120 Ministro Andreazza";17;17;19735,82;15846,70;-;-;3889,12;-;-;1160,93;1160,93;67;3,9;-;-
"110130 Mirante da Serra";13;13;11509,81;9356,39;-;-;2153,42;-;-;885,37;885,37;50;3,8;1;7,69
"110033 Nova Mamoré";47;47;48912,00;39593,84;-;-;9318,16;-;-;1040,68;1040,68;237;5,0;2;4,26
"110143 Nova União";27;27;31005,58;24817,31;-;-;6188,27;-;-;1148,35;1148,35;65;2,4;-;-
"110050 Novo Horizonte do Oeste";30;30;31233,40;25024,55;-;-;6208,85;-;-;1041,11;1041,11;99;3,3;4;13,33
"110018 Pimenta Bueno";214;214;128037,87;104276,20;-;-;23761,67;-;-;598,31;598,31;512;2,4;9;4,21
"110020 Porto Velho";3559;3559;7956851,53;6613325,18;-;-;1343526,35;-;-;2235,70;2235,70;22821;6,4;361;10,14
"110025 Presidente Médici";90;90;82083,58;63662,98;-;-;18420,60;-;-;912,04;912,04;379;4,2;10;11,11
"110026 Rio Crespo";3;3;135,71;102,33;-;-;33,38;-;-;45,24;45,24;3;1,0;-;-
"110028 Rolim de Moura";261;261;208910,70;158100,71;-;-;50809,99;-;-;800,42;800,42;769;2,9;10;3,83
"110029 Santa Luzia D'Oeste";35;35;28024,31;22903,16;-;-;5121,15;-;-;800,69;800,69;132;3,8;1;2,86
"110149 São Francisco do Guaporé";63;63;53074,63;41903,89;-;-;11170,74;-;-;842,45;842,45;263;4,2;1;1,59
"110032 São Miguel do Guaporé";127;127;73525,78;55862,83;-;-;17662,95;-;-;578,94;578,94;190;1,5;1;0,79
"110150 Seringueiras";40;40;17998,11;12448,83;-;-;5549,28;-;-;449,95;449,95;80;2,0;2;5,00
"110155 Teixeirópolis";15;15;10874,30;9006,84;-;-;1867,46;-;-;724,95;724,95;50;3,3;-;-
"110170 Urupá";12;12;11602,46;9329,08;-;-;2273,38;-;-;966,87;966,87;34;2,8;-;-
"110180 Vale do Paraíso";28;28;42000,00;33487,72;-;-;8512,28;-;-;1500,00;1500,00;181;6,5;4;14,29
"110030 Vilhena";760;760;1081267,37;875708,93;-;-;205558,44;-;-;1422,72;1422,72;3458;4,5;63;8,29
"120005 Assis Brasil";30;30;9415,44;7019,63;-;-;2395,81;-;-;313,85;313,85;89;3,0;-;-
"120010 Brasiléia";225;225;120276,26;91196,04;-;-;29080,22;-;-;534,56;534,56;670;3,0;11;4,89
"120020 Cruzeiro do Sul";844;844;710274,74;561373,62;-;-;148901,12;-;-;841,56;841,56;3989;4,7;49;5,81
"120030 Feijó";112;112;54020,64;39705,88;-;-;14314,76;-;-;482,33;482,33;309;2,8;-;-
"120034 Manoel Urbano";52;52;53602,69;42223,84;-;-;11378,85;-;-;1030,82;1030,82;205;3,9;1;1,92
