 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Fev/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";81;81;49087,84;39680,93;-;-;9406,91;-;-;606,02;606,02;236;2,9;5;6,17
"110037 Alto Alegre dos Parecis";42;42;22175,60;18243,94;-;-;3931,66;-;-;527,99;527,99;161;3,8;-;-
"110040 Alto Paraíso";23;23;15823,53;12949,66;-;-;2873,87;-;-;687,98;687,98;69;3,0;-;-
"110002 Ariquemes";587;587;1152153,24;962159,29;-;-;189993,95;-;-;1962,78;1962,78;1908;3,3;72;12,27
"110045 Buritis";70;70;49376,31;38712,91;-;-;10663,40;-;-;705,38;705,38;273;3,9;4;5,71
"110003 Cabixi";26;26;19575,62;16141,65;-;-;3433,97;-;-;752,91;752,91;66;2,5;-;-
"110004 Cacoal";616;616;535145,72;421406,62;-;-;113739,10;-;-;868,74;868,74;3168;5,1;32;5,19
"110005 Cerejeiras";54;54;21153,65;17158,42;-;-;3995,23;-;-;391,73;391,73;137;2,5;-;-
"110006 Colorado do Oeste";22;22;18132,42;15030,63;-;-;3101,79;-;-;824,20;824,20;82;3,7;-;-
"110094 Cujubim";49;49;28698,99;23140,66;-;-;5558,33;-;-;585,69;585,69;-;-;-;-
"110009 Espigão D'Oeste";74;74;33579,99;27639,71;-;-;5940,28;-;-;453,78;453,78;188;2,5;2;2,70
"110010 Guajará-Mirim";209;209;141309,42;104683,23;-;-;36626,19;-;-;676,12;676,12;669;3,2;10;4,78
"110110 Itapuã do Oeste";16;16;11609,66;9421,14;-;-;2188,52;-;-;725,60;725,60;20;1,3;-;-
"110011 Jaru";235;235;246992,71;192646,94;-;-;54345,77;-;-;1051,03;1051,03;685;2,9;13;5,53
"110012 Ji-Paraná";493;493;506246,60;401948,16;-;-;104298,44;-;-;1026,87;1026,87;2091;4,2;24;4,87
"110013 Machadinho D'Oeste";106;106;68328,66;53174,74;-;-;15153,92;-;-;644,61;644,61;233;2,2;5;4,72
"110120 Ministro Andreazza";11;11;8754,39;7160,35;-;-;1594,04;-;-;795,85;795,85;44;4,0;-;-
"110130 Mirante da Serra";11;11;8528,43;7169,38;-;-;1359,05;-;-;775,31;775,31;43;3,9;-;-
"110014 Nova Brasilândia D'Oeste";61;61;34266,36;28111,61;-;-;6154,75;-;-;561,74;561,74;232;3,8;-;-
"110033 Nova Mamoré";61;61;70047,76;56482,53;-;-;13565,23;-;-;1148,32;1148,32;326;5,3;6;9,84
"110143 Nova União";27;27;22452,03;18296,42;-;-;4155,61;-;-;831,56;831,56;64;2,4;-;-
"110050 Novo Horizonte do Oeste";26;26;15597,58;12919,55;-;-;2678,03;-;-;599,91;599,91;74;2,8;1;3,85
"110145 Parecis";25;25;1117,70;842,74;-;-;274,96;-;-;44,71;44,71;25;1,0;-;-
"110018 Pimenta Bueno";215;215;127031,96;104042,26;-;-;22989,70;-;-;590,85;590,85;519;2,4;13;6,05
"110146 Pimenteiras do Oeste";4;4;3637,06;2825,73;-;-;811,33;-;-;909,26;909,26;10;2,5;-;-
"110020 Porto Velho";3750;3750;5366134,61;4386833,30;-;-;979301,31;-;-;1430,97;1430,97;21075;5,6;172;4,59
"110025 Presidente Médici";66;66;50231,91;39463,99;-;-;10767,92;-;-;761,09;761,09;179;2,7;2;3,03
"110026 Rio Crespo";8;8;364,81;277,03;-;-;87,78;-;-;45,60;45,60;10;1,3;-;-
"110028 Rolim de Moura";131;131;53246,70;37316,92;-;-;15929,78;-;-;406,46;406,46;281;2,1;4;3,05
"110029 Santa Luzia D'Oeste";17;17;16293,65;13236,70;-;-;3056,95;-;-;958,45;958,45;72;4,2;-;-
"110149 São Francisco do Guaporé";89;89;57867,61;44597,86;-;-;13269,75;-;-;650,20;650,20;329;3,7;4;4,49
"110032 São Miguel do Guaporé";105;105;63636,93;48443,60;-;-;15193,33;-;-;606,07;606,07;188;1,8;4;3,81
"110150 Seringueiras";46;46;20440,88;14743,28;-;-;5697,60;-;-;444,37;444,37;119;2,6;-;-
"110155 Teixeirópolis";12;12;7783,10;6560,99;-;-;1222,11;-;-;648,59;648,59;39;3,3;-;-
"110170 Urupá";18;18;11681,09;9426,01;-;-;2255,08;-;-;648,95;648,95;29;1,6;1;5,56
"110180 Vale do Paraíso";16;16;16218,22;12979,36;-;-;3238,86;-;-;1013,64;1013,64;64;4,0;-;-
"110030 Vilhena";840;840;756192,05;593871,82;-;-;162320,23;-;-;900,23;900,23;3641;4,3;50;5,95
"120005 Assis Brasil";40;40;16621,66;12386,83;-;-;4234,83;-;-;415,54;415,54;109;2,7;-;-
"120010 Brasiléia";210;210;116055,97;90171,04;-;-;25884,93;-;-;552,65;552,65;660;3,1;6;2,86
"120020 Cruzeiro do Sul";568;568;495418,48;388810,08;-;-;106608,40;-;-;872,22;872,22;2437;4,3;34;5,99
"120030 Feijó";39;39;16668,52;11307,34;-;-;5361,18;-;-;427,40;427,40;63;1,6;-;-
"120034 Manoel Urbano";28;28;13627,39;10523,03;-;-;3104,36;-;-;486,69;486,69;97;3,5;1;3,57
"120035 Marechal Thaumaturgo";12;12;1672,31;1190,62;-;-;481,69;-;-;139,36;139,36;22;1,8;-;-
"120038 Plácido de Castro";5;5;1554,49;1302,49;-;-;252,00;-;-;310,90;310,90;13;2,6;-;-
"120040 Rio Branco";2108;2119;2652482,87;2057913,35;-;-;594569,52;-;-;1251,76;1258,29;14385;6,8;144;6,83
"120042 Rodrigues Alves";19;19;8644,20;6701,71;-;-;1942,49;-;-;454,96;454,96;38;2,0;-;-
"120043 Santa Rosa do Purus";24;24;8724,27;6623,51;-;-;2100,76;-;-;363,51;363,51;36;1,5;-;-
"120050 Sena Madureira";155;155;78700,36;60916,33;-;-;17784,03;-;-;507,74;507,74;440;2,8;1;0,65
"120045 Senador Guiomard";35;35;14675,65;12217,01;-;-;2458,64;-;-;419,30;419,30;120;3,4;-;-
"120060 Tarauacá";176;176;80347,89;59371,62;-;-;20976,27;-;-;456,52;456,52;402;2,3;-;-
"120070 Xapuri";64;64;33233,86;26744,15;-;-;6489,71;-;-;519,28;519,28;196;3,1;2;3,13
"130002 Alvarães";39;39;29336,82;23677,32;-;-;5659,50;-;-;752,23;752,23;230;5,9;1;2,56
"130006 Amaturá";21;21;7954,39;5858,92;-;-;2095,47;-;-;378,78;378,78;51;2,4;-;-
"130010 Anori";40;40;10662,10;7809,35;-;-;2852,75;-;-;266,55;266,55;124;3,1;-;-
"130014 Apuí";48;48;22127,27;15716,85;-;-;6410,42;-;-;460,98;460,98;189;3,9;-;-
"130020 Atalaia do Norte";32;32;26574,19;20802,87;-;-;5771,32;-;-;830,44;830,44;99;3,1;2;6,25
"130030 Autazes";92;92;56706,78;41964,51;-;-;14742,27;-;-;616,38;616,38;272;3,0;4;4,35
"130040 Barcelos";29;29;21690,83;16119,13;-;-;5571,70;-;-;747,96;747,96;90;3,1;4;13,79
"130050 Barreirinha";127;127;47247,85;32559,08;-;-;14688,77;-;-;372,03;372,03;473;3,7;8;6,30
"130060 Benjamin Constant";110;110;83850,64;63763,13;-;-;20087,51;-;-;762,28;762,28;400;3,6;5;4,55
"130068 Boa Vista do Ramos";78;78;63419,54;49641,38;-;-;13778,16;-;-;813,07;813,07;253;3,2;2;2,56
"130070 Boca do Acre";95;95;47372,10;33332,35;-;-;14039,75;-;-;498,65;498,65;274;2,9;-;-
"130080 Borba";129;129;84765,25;65456,19;-;-;19309,06;-;-;657,09;657,09;459;3,6;1;0,78
"130083 Caapiranga";58;58;15916,99;12143,99;-;-;3773,00;-;-;274,43;274,43;168;2,9;-;-
"130090 Canutama";30;30;8482,20;6586,24;-;-;1895,96;-;-;282,74;282,74;116;3,9;-;-
"130100 Carauari";129;129;82338,80;58937,31;-;-;23401,49;-;-;638,29;638,29;343;2,7;1;0,78
"130110 Careiro";55;55;73903,02;58347,33;-;-;15555,69;-;-;1343,69;1343,69;259;4,7;19;34,55
"130120 Coari";335;335;224976,54;156222,04;-;-;68754,50;-;-;671,57;671,57;1256;3,7;27;8,06
"130130 Codajás";47;47;26373,82;21459,61;-;-;4914,21;-;-;561,15;561,15;142;3,0;-;-
"130140 Eirunepé";109;109;46972,05;33276,65;-;-;13695,40;-;-;430,94;430,94;276;2,5;1;0,92
"130150 Envira";77;77;41626,48;31564,06;-;-;10062,42;-;-;540,60;540,60;168;2,2;1;1,30
"130160 Fonte Boa";116;116;66135,07;49642,53;-;-;16492,54;-;-;570,13;570,13;358;3,1;4;3,45
"130165 Guajará";36;36;28647,98;23398,82;-;-;5249,16;-;-;795,78;795,78;130;3,6;-;-
"130170 Humaitá";134;134;111208,62;85337,67;-;-;25870,95;-;-;829,92;829,92;548;4,1;8;5,97
"130180 Ipixuna";141;141;104654,16;80240,11;-;-;24414,05;-;-;742,23;742,23;365;2,6;-;-
"130185 Iranduba";48;48;60164,43;47637,24;-;-;12527,19;-;-;1253,43;1253,43;312;6,5;1;2,08
"130190 Itacoatiara";507;507;551807,53;422659,24;-;-;129148,29;-;-;1088,38;1088,38;2796;5,5;80;15,78
"130200 Itapiranga";50;50;46013,30;34495,81;-;-;11517,49;-;-;920,27;920,27;225;4,5;3;6,00
"130230 Jutaí";103;103;41207,58;30041,85;-;-;11165,73;-;-;400,07;400,07;169;1,6;-;-
"130240 Lábrea";177;177;123336,35;93621,47;-;-;29714,88;-;-;696,82;696,82;603;3,4;-;-
"130250 Manacapuru";556;556;460721,56;341937,55;-;-;118784,01;-;-;828,64;828,64;2157;3,9;39;7,01
"130255 Manaquiri";78;78;93321,83;74017,84;-;-;19303,99;-;-;1196,43;1196,43;482;6,2;2;2,56
"130260 Manaus";10439;10439;20716194,13;16899923,76;-;-;3816270,37;-;-;1984,50;1984,50;69125;6,6;1209;11,58
"130270 Manicoré";170;170;93139,64;61585,50;-;-;31554,14;-;-;547,88;547,88;456;2,7;-;-
"130290 Maués";252;252;195968,35;142956,01;-;-;53012,34;-;-;777,65;777,65;752;3,0;16;6,35
"130300 Nhamundá";61;61;57825,78;44063,65;-;-;13762,13;-;-;947,96;947,96;274;4,5;4;6,56
"130310 Nova Olinda do Norte";114;114;85687,70;64431,56;-;-;21256,14;-;-;751,65;751,65;379;3,3;2;1,75
"130320 Novo Airão";56;56;43786,53;33690,36;-;-;10096,17;-;-;781,90;781,90;193;3,4;3;5,36
"130340 Parintins";711;711;664995,89;519018,03;-;-;145977,86;-;-;935,30;935,30;3368;4,7;55;7,74
"130353 Presidente Figueiredo";94;94;92229,71;73642,55;-;-;18587,16;-;-;981,17;981,17;426;4,5;11;11,70
"130356 Rio Preto da Eva";69;69;70529,99;55369,79;-;-;15160,20;-;-;1022,17;1022,17;365;5,3;11;15,94
"130370 Santo Antônio do Içá";125;125;58788,91;43274,81;-;-;15514,10;-;-;470,31;470,31;278;2,2;1;0,80
"130380 São Gabriel da Cachoeira";106;106;48883,44;31555,58;-;-;17327,86;-;-;461,16;461,16;348;3,3;11;10,38
"130390 São Paulo de Olivença";110;110;100912,23;80475,07;-;-;20437,16;-;-;917,38;917,38;323;2,9;12;10,91
"130395 São Sebastião do Uatumã";64;64;52903,47;41142,19;-;-;11761,28;-;-;826,62;826,62;242;3,8;7;10,94
"130406 Tabatinga";564;564;397705,54;288845,97;-;-;108859,57;-;-;705,15;705,15;1928;3,4;19;3,37
"130410 Tapauá";75;75;47060,69;33039,22;-;-;14021,47;-;-;627,48;627,48;248;3,3;-;-
"130420 Tefé";545;545;411376,84;315425,82;-;-;95951,02;-;-;754,82;754,82;2012;3,7;33;6,06
"130423 Tonantins";54;54;23976,25;17935,71;-;-;6040,54;-;-;444,00;444,00;177;3,3;1;1,85
"130426 Uarini";82;82;68567,41;52678,19;-;-;15889,22;-;-;836,19;836,19;204;2,5;1;1,22
"130430 Urucará";110;110;122938,11;95317,93;-;-;27620,18;-;-;1117,62;1117,62;600;5,5;10;9,09
"140005 Alto Alegre";13;13;6337,91;5419,38;-;-;918,53;-;-;487,53;487,53;73;5,6;-;-
"140010 Boa Vista";2990;2990;3369513,85;2663321,57;-;-;706192,28;-;-;1126,93;1126,93;20951;7,0;318;10,64
"140015 Bonfim";8;8;3669,20;2172,80;-;-;1496,40;-;-;458,65;458,65;10;1,3;-;-
"140020 Caracaraí";5;5;2444,02;1622,47;-;-;821,55;-;-;488,80;488,80;6;1,2;-;-
"140023 Caroebe";9;9;2004,99;1753,00;-;-;251,99;-;-;222,78;222,78;22;2,4;-;-
"140030 Mucajaí";15;15;5474,69;4486,55;-;-;988,14;-;-;364,98;364,98;51;3,4;-;-
"140040 Normandia";18;18;6408,89;4165,50;-;-;2243,39;-;-;356,05;356,05;36;2,0;-;-
"140045 Pacaraima";40;40;17970,75;13384,97;-;-;4585,78;-;-;449,27;449,27;92;2,3;1;2,50
"140047 Rorainópolis";189;189;100141,11;76179,93;-;-;23961,18;-;-;529,85;529,85;713;3,8;2;1,06
"140050 São João da Baliza";9;9;1936,84;1684,18;-;-;252,66;-;-;215,20;215,20;37;4,1;1;11,11
"140060 São Luiz";8;8;3871,48;3341,80;-;-;529,68;-;-;483,94;483,94;35;4,4;-;-
"150010 Abaetetuba";765;765;351322,63;259536,41;-;-;91786,22;-;-;459,25;459,25;2784;3,6;9;1,18
"150013 Abel Figueiredo";32;32;21599,85;16797,96;-;-;4801,89;-;-;675,00;675,00;86;2,7;-;-
"150020 Acará";69;69;25100,50;19505,07;-;-;5595,43;-;-;363,78;363,78;264;3,8;2;2,90
"150030 Afuá";60;60;22791,66;17534,36;-;-;5257,30;-;-;379,86;379,86;199;3,3;-;-
"150034 Água Azul do Norte";76;76;45069,00;34169,04;-;-;10899,96;-;-;593,01;593,01;203;2,7;-;-
"150040 Alenquer";299;299;201009,33;156127,41;-;-;44881,92;-;-;672,27;672,27;913;3,1;21;7,02
"150050 Almeirim";129;129;81798,66;60506,37;-;-;21292,29;-;-;634,10;634,10;317;2,5;4;3,10
"150060 Altamira";782;782;738327,23;575317,26;-;-;163009,97;-;-;944,15;944,15;4417;5,6;62;7,93
"150070 Anajás";96;96;34494,42;24510,59;-;-;9983,83;-;-;359,32;359,32;168;1,8;2;2,08
"150080 Ananindeua";2089;2089;2254057,60;1703591,51;-;-;550466,09;-;-;1079,01;1079,01;8314;4,0;37;1,77
"150085 Anapu";121;121;80299,79;63728,02;-;-;16571,77;-;-;663,63;663,63;514;4,2;-;-
"150090 Augusto Corrêa";305;305;155958,73;130809,55;-;-;25149,18;-;-;511,34;511,34;1048;3,4;-;-
"150095 Aurora do Pará";100;100;54020,74;41367,30;-;-;12653,44;-;-;540,21;540,21;354;3,5;-;-
"150120 Baião";18;18;9303,24;6281,14;-;-;3022,10;-;-;516,85;516,85;42;2,3;-;-
