 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";135;135;91689,91;73264,78;-;-;18425,13;-;-;679,18;679,18;353;2,6;3;2,22
"110037 Alto Alegre dos Parecis";42;42;33719,44;27155,63;-;-;6563,81;-;-;802,84;802,84;136;3,2;-;-
"110040 Alto Paraíso";23;23;11741,68;9654,44;-;-;2087,24;-;-;510,51;510,51;46;2,0;-;-
"110002 Ariquemes";602;602;1211960,10;1013590,92;-;-;198369,18;-;-;2013,22;2013,22;1995;3,3;80;13,29
"110045 Buritis";120;120;63506,51;50695,48;-;-;12811,03;-;-;529,22;529,22;406;3,4;4;3,33
"110003 Cabixi";26;26;28343,14;22788,87;-;-;5554,27;-;-;1090,12;1090,12;84;3,2;-;-
"110004 Cacoal";515;515;337440,29;258616,40;-;-;78823,89;-;-;655,22;655,22;2453;4,8;19;3,69
"110005 Cerejeiras";75;75;44943,61;36357,63;-;-;8585,98;-;-;599,25;599,25;220;2,9;3;4,00
"110006 Colorado do Oeste";32;32;31393,99;25955,34;-;-;5438,65;-;-;981,06;981,06;157;4,9;3;9,38
"110094 Cujubim";43;43;10564,32;8763,71;-;-;1800,61;-;-;245,68;245,68;-;-;-;-
"110009 Espigão D'Oeste";97;97;41619,14;34079,94;-;-;7539,20;-;-;429,06;429,06;176;1,8;2;2,06
"110010 Guajará-Mirim";228;228;136515,22;100201,91;-;-;36313,31;-;-;598,75;598,75;731;3,2;7;3,07
"110110 Itapuã do Oeste";18;18;7576,90;6189,11;-;-;1387,79;-;-;420,94;420,94;17;0,9;-;-
"110011 Jaru";224;224;179344,89;137306,35;-;-;42038,54;-;-;800,65;800,65;691;3,1;12;5,36
"110012 Ji-Paraná";251;251;231448,95;184321,16;-;-;47127,79;-;-;922,11;922,11;979;3,9;3;1,20
"110013 Machadinho D'Oeste";130;130;68745,44;53742,29;-;-;15003,15;-;-;528,81;528,81;278;2,1;3;2,31
"110120 Ministro Andreazza";8;8;7079,94;5707,87;-;-;1372,07;-;-;884,99;884,99;19;2,4;-;-
"110130 Mirante da Serra";18;18;10719,41;8944,20;-;-;1775,21;-;-;595,52;595,52;71;3,9;-;-
"110014 Nova Brasilândia D'Oeste";20;20;21245,01;17171,64;-;-;4073,37;-;-;1062,25;1062,25;58;2,9;1;5,00
"110033 Nova Mamoré";67;67;59357,60;48393,74;-;-;10963,86;-;-;885,93;885,93;240;3,6;5;7,46
"110143 Nova União";14;14;11592,36;9406,03;-;-;2186,33;-;-;828,03;828,03;38;2,7;-;-
"110050 Novo Horizonte do Oeste";29;29;29237,25;23562,57;-;-;5674,68;-;-;1008,18;1008,18;96;3,3;2;6,90
"110145 Parecis";34;34;1533,98;1156,66;-;-;377,32;-;-;45,12;45,12;34;1,0;-;-
"110018 Pimenta Bueno";192;192;94621,59;77575,29;-;-;17046,30;-;-;492,82;492,82;415;2,2;7;3,65
"110146 Pimenteiras do Oeste";13;13;9475,90;7690,41;-;-;1785,49;-;-;728,92;728,92;50;3,8;-;-
"110020 Porto Velho";4299;4299;5922265,31;4796914,49;-;-;1125350,82;-;-;1377,59;1377,59;28795;6,7;208;4,84
"110025 Presidente Médici";35;35;24561,92;18914,62;-;-;5647,30;-;-;701,77;701,77;110;3,1;2;5,71
"110026 Rio Crespo";2;2;88,44;66,68;-;-;21,76;-;-;44,22;44,22;5;2,5;-;-
"110028 Rolim de Moura";289;289;155260,56;115003,88;-;-;40256,68;-;-;537,23;537,23;592;2,0;6;2,08
"110029 Santa Luzia D'Oeste";28;28;22418,62;18195,07;-;-;4223,55;-;-;800,66;800,66;102;3,6;2;7,14
"110149 São Francisco do Guaporé";67;67;33698,78;24326,97;-;-;9371,81;-;-;502,97;502,97;143;2,1;-;-
"110032 São Miguel do Guaporé";111;111;61378,48;47558,75;-;-;13819,73;-;-;552,96;552,96;193;1,7;5;4,50
"110150 Seringueiras";59;59;23006,66;16954,30;-;-;6052,36;-;-;389,94;389,94;169;2,9;4;6,78
