Nivel,CodIBGE,Municipio,2007,2009,2011,2013,2015,2017
MU,1100015,Alta Floresta D'Oeste (RO),191364,256986,280510,341325,421300,498864
MU,1100023,Ariquemes (RO),905203,1133095,1651885,1799853,2037799,2296074
MU,1100031,Cabixi (RO),49166,69776,77217,96365,116565,138894
MU,1100049,Cacoal (RO),814890,985479,1259024,1433254,1794478,2127523
MU,1100056,Cerejeiras (RO),143270,190902,260142,353270,397736,448524
MU,1100064,Colorado do Oeste (RO),137899,174168,206425,242767,285372,340047
MU,1100072,Corumbiara (RO),72291,119226,145412,168681,190906,330393
MU,1100080,Costa Marques (RO),74215,99854,120018,149739,187170,215992
MU,1100098,Espigão D'Oeste (RO),220452,291491,347581,426546,483962,577982
MU,1100106,Guajará-Mirim (RO),374116,521104,715386,605131,682458,804570
MU,1100114,Jaru (RO),693762,722047,861623,1070429,1207965,1413628
MU,1100122,Ji-Paraná (RO),1257350,1640344,2056220,2374801,2755755,3026759
MU,1100130,Machadinho D'Oeste (RO),183666,254438,301792,396658,451940,607111
MU,1100148,Nova Brasilândia D'Oeste (RO),139569,164381,188992,230676,272574,360966
MU,1100155,Ouro Preto do Oeste (RO),319107,399690,507790,556443,633050,777713
MU,1100189,Pimenta Bueno (RO),336934,471876,602732,755542,906443,1076411
MU,1100205,Porto Velho (RO),4474812,6841953,11139255,11699707,13970352,16514535
MU,1100254,Presidente Médici (RO),159520,216194,250510,292636,359302,415050
MU,1100262,Rio Crespo (RO),28672,40075,48230,63732,78522,106320
MU,1100288,Rolim de Moura (RO),466023,570998,756305,926089,1082400,1297525
MU,1100296,Santa Luzia D'Oeste (RO),69961,89832,109366,125662,135949,158612
MU,1100304,Vilhena (RO),916061,1244988,1491477,2011515,2185475,2555582
MU,1100320,São Miguel do Guaporé (RO),158873,234784,311271,395408,454048,649904
MU,1100338,Nova Mamoré (RO),134075,183340,249369,308322,379824,473026
MU,1100346,Alvorada D'Oeste (RO),107459,146945,174574,191138,220491,262692
MU,1100379,Alto Alegre dos Parecis (RO),90566,123305,135691,183210,212357,335440
MU,1100403,Alto Paraíso (RO),107258,146985,176664,214064,258222,319784
MU,1100452,Buritis (RO),225142,290764,380852,427488,519513,666233
MU,1100502,Novo Horizonte do Oeste (RO),69106,91843,100846,113700,134273,168303
MU,1100601,Cacaulândia (RO),49655,66827,84262,99011,125344,140788
MU,1100700,Campo Novo de Rondônia (RO),67676,98734,150582,181408,223211,276532
MU,1100809,Candeias do Jamari (RO),120362,166595,253982,280360,399266,538155
MU,1100908,Castanheiras (RO),28981,36778,44579,53263,66529,111483
MU,1100924,Chupinguaia (RO),92199,126926,179981,225345,235664,280763
MU,1100940,Cujubim (RO),82708,126006,218790,249223,288031,324023
MU,1101005,Governador Jorge Teixeira (RO),82944,94025,112253,140140,154876,182629
MU,1101104,Itapuã do Oeste (RO),64746,79554,117104,139589,143840,160828
MU,1101203,Ministro Andreazza (RO),67101,86288,116881,146641,170866,218099
MU,1101302,Mirante da Serra (RO),81541,103671,119478,134517,178007,212397
MU,1101401,Monte Negro (RO),96250,120497,176274,205600,229497,268258
MU,1101435,Nova União (RO),49455,62956,76050,86792,103160,121495
MU,1101450,Parecis (RO),31809,43204,56027,71097,84439,102393
MU,1101468,Pimenteiras do Oeste (RO),29134,40422,53250,77664,79777,99026
MU,1101476,Primavera de Rondônia (RO),25562,32641,38302,47727,53386,63356
MU,1101484,São Felipe D'Oeste (RO),44705,55940,61616,70826,78389,91138
MU,1101492,São Francisco do Guaporé (RO),107923,156875,200906,245948,293297,341413
MU,1101500,Seringueiras (RO),76674,98812,134333,157939,180367,240537
MU,1101559,Teixeirópolis (RO),34054,44347,56623,67681,79344,83415
MU,1101609,Theobroma (RO),72277,93931,104328,128042,153737,184817
MU,1101708,Urupá (RO),83114,111032,129845,150563,183100,208989
MU,1101757,Vale do Anari (RO),60872,81947,89772,99751,118306,150777
MU,1101807,Vale do Paraíso (RO),67854,80138,92336,108134,124700,140728
MU,1200013,Acrelândia (AC),77840,94180,142761,214652,212961,229627
MU,1200054,Assis Brasil (AC),27928,35412,46581,64602,77234,91741
MU,1200104,Brasiléia (AC),115290,159564,203479,294874,388114,387911
MU,1200138,Bujari (AC),52408,61525,102702,120210,147868,158298
MU,1200179,Capixaba (AC),63085,73183,116149,158800,160134,170986
MU,1200203,Cruzeiro do Sul (AC),490308,681822,758483,969784,1060536,1287722
MU,1200252,Epitaciolândia (AC),106140,134228,159664,268087,276370,435911
MU,1200302,Feijó (AC),127550,172904,205065,267203,322418,350870
MU,1200328,Jordão (AC),29461,38247,45671,58271,72755,78628
MU,1200336,Mâncio Lima (AC),56848,80406,104768,150136,179969,194418
